timestamp,speed,category
24581,303,1
24582,302,1
24583,299,0
24584,300,1
24585,299,0
24586,296,0
24587,289,0
24588,289,0
24589,298,0
24590,298,0
24591,301,1
24592,304,1
24593,304,1
24594,297,0
24595,290,0
24596,289,0
24597,284,0
24598,290,0
24599,301,1
24600,309,1
24601,312,1
24602,312,1
24603,319,1
24604,320,1
24605,313,1
24606,309,1
24607,310,1
24608,329,1
24609,329,1
24610,332,1
24611,326,1
24612,323,1
24613,322,1
24614,312,1
24615,316,1
24616,319,1
24617,336,1
24618,363,1
24619,369,1
24620,360,1
24621,345,1
24622,342,1
24623,334,1
24624,327,1
24625,349,1
24626,352,1
24627,370,1
24628,380,1
24629,375,1
24630,362,1
24631,355,1
24632,360,1
24633,356,1
24634,347,1
24635,343,1
24636,335,1
24637,338,1
24638,342,1
24639,333,1
24640,328,1
24641,314,1
24642,314,1
24643,323,1
24644,323,1
24645,326,1
24646,314,1
24647,310,1
24648,313,1
24649,323,1
24650,329,1
24651,331,1
24652,335,1
24653,342,1
24654,348,1
24655,346,1
24656,348,1
24657,352,1
24658,344,1
24659,344,1
24660,343,1
24661,345,1
24662,357,1
24663,331,1
24664,332,1
24665,335,1
24666,325,1
24667,324,1
24668,322,1
24669,318,1
24670,306,1
24671,298,0
24672,308,1
24673,307,1
24674,321,1
24675,320,1
24676,317,1
24677,339,1
24678,327,1
24679,328,1
24680,330,1
24681,326,1
24682,323,1
24683,325,1
24684,320,1
24685,306,1
24686,309,1
24687,314,1
24688,309,1
24689,303,1
24690,308,1
24691,311,1
24692,309,1
24693,322,1
24694,312,1
24695,314,1
24696,305,1
24697,303,1
24698,307,1
24699,295,0
24700,293,0
24701,291,0
24702,291,0
24703,287,0
24704,293,0
24705,300,1
24706,298,0
24707,297,0
24708,290,0
24709,290,0
24710,296,0
24711,295,0
24712,294,0
24713,292,0
24714,290,0
24715,295,0
24716,290,0
24717,288,0
24718,285,0
24719,298,0
24720,299,0
24721,297,0
24722,300,1
24723,299,0
24724,299,0
24725,296,0
24726,293,0
24727,290,0
24728,291,0
24729,289,0
24730,280,0
24731,275,0
24732,276,0
24733,286,0
24734,276,0
24735,273,0
24736,272,0
24737,280,0
24738,280,0
24739,279,0
24740,277,0
24741,276,0
24742,277,0
24743,277,0
24744,283,0
24745,278,0
24746,279,0
24747,279,0
24748,279,0
24749,285,0
24750,281,0
24751,274,0
24752,276,0
24753,275,0
24754,280,0
24755,285,0
24756,285,0
24757,280,0
24758,280,0
24759,277,0
24760,276,0
24761,273,0
24762,282,0
24763,285,0
24764,291,0
24765,294,0
24766,290,0
24767,290,0
24768,295,0
24769,305,1
24770,308,1
24771,313,1
24772,313,1
24773,310,1
24774,316,1
24775,315,1
24776,301,1
24777,297,0
24778,305,1
24779,339,1
24780,339,1
24781,322,1
24782,317,1
24783,325,1
24784,317,1
24785,321,1
24786,329,1
24787,327,1
24788,335,1
24789,328,1
24790,316,1
24791,319,1
24792,329,1
24793,309,1
24794,314,1
24795,321,1
24796,315,1
24797,327,1
24798,329,1
24799,323,1
24800,310,1
24801,321,1
24802,334,1
24803,334,1
24804,348,1
24805,355,1
24806,350,1
24807,346,1
24808,353,1
24809,359,1
24810,373,1
24811,354,1
24812,357,1
24813,348,1
24814,341,1
24815,335,1
24816,343,1
24817,345,1
24818,337,1
24819,337,1
24820,339,1
24821,332,1
24822,331,1
24823,335,1
24824,332,1
24825,333,1
24826,348,1
24827,379,1
24828,383,1
24829,377,1
24830,372,1
24831,385,1
24832,406,1
24833,411,1
24834,394,1
24835,374,1
24836,381,1
24837,406,1
24838,399,1
24839,379,1
24840,351,1
24841,350,1
24842,366,1
24843,387,1
24844,383,1
24845,381,1
24846,367,1
24847,375,1
24848,378,1
24849,364,1
24850,361,1
24851,352,1
24852,375,1
24853,373,1
24854,374,1
24855,375,1
24856,368,1
24857,362,1
24858,353,1
24859,346,1
24860,347,1
24861,334,1
24862,340,1
24863,346,1
24864,344,1
24865,346,1
24866,340,1
24867,336,1
24868,335,1
24869,330,1
24870,332,1
24871,328,1
24872,325,1
24873,323,1
24874,334,1
24875,344,1
24876,336,1
24877,327,1
24878,319,1
24879,316,1
24880,314,1
24881,319,1
24882,316,1
24883,312,1
24884,316,1
24885,327,1
24886,366,1
24887,367,1
24888,362,1
24889,372,1
24890,377,1
24891,384,1
24892,385,1
24893,384,1
24894,380,1
24895,365,1
24896,357,1
24897,353,1
24898,356,1
24899,342,1
24900,345,1
24901,347,1
24902,342,1
24903,341,1
24904,339,1
24905,341,1
24906,340,1
24907,349,1
24908,358,1
24909,363,1
24910,361,1
24911,374,1
24912,371,1
24913,380,1
24914,372,1
24915,360,1
24916,344,1
24917,344,1
24918,340,1
24919,331,1
24920,372,1
24921,391,1
24922,341,1
24923,335,1
24924,346,1
24925,372,1
24926,397,1
24927,388,1
24928,350,1
24929,348,1
24930,342,1
24931,353,1
24932,376,1
24933,394,1
24934,409,1
24935,387,1
24936,339,1
24937,307,1
24938,319,1
24939,314,1
24940,314,1
24941,304,1
24942,296,0
24943,292,0
24944,314,1
24945,312,1
24946,351,1
24947,357,1
24948,351,1
24949,347,1
24950,346,1
24951,338,1
24952,345,1
24953,339,1
24954,336,1
24955,335,1
24956,334,1
24957,335,1
24958,332,1
24959,331,1
24960,332,1
24961,334,1
24962,333,1
24963,329,1
24964,328,1
24965,330,1
24966,327,1
24967,329,1
24968,323,1
24969,337,1
24970,343,1
24971,343,1
24972,337,1
24973,345,1
24974,346,1
24975,350,1
24976,350,1
24977,348,1
24978,339,1
24979,340,1
24980,344,1
24981,332,1
24982,329,1
24983,325,1
24984,324,1
24985,340,1
24986,355,1
24987,356,1
24988,353,1
24989,352,1
24990,359,1
24991,365,1
24992,381,1
24993,383,1
24994,362,1
24995,349,1
24996,351,1
24997,354,1
24998,358,1
24999,359,1
25000,354,1
25001,366,1
25002,358,1
25003,364,1
25004,354,1
25005,356,1
25006,363,1
25007,372,1
25008,384,1
25009,385,1
25010,387,1
25011,385,1
25012,382,1
25013,380,1
25014,384,1
25015,391,1
25016,397,1
25017,388,1
25018,394,1
25019,394,1
25020,390,1
25021,387,1
25022,386,1
25023,382,1
25024,388,1
25025,382,1
25026,390,1
25027,399,1
25028,402,1
25029,400,1
25030,412,1
25031,411,1
25032,407,1
25033,410,1
25034,409,1
25035,413,1
25036,404,1
25037,403,1
25038,422,1
25039,452,1
